site,taxon,class,n
26,AGAR,<4cm,1
26,AGAR,>4cm,1
26,DSTO,>4cm,0
26,EFAS,>4cm,0
26,FAVI,<4cm,0
26,FAVI,>4cm,1
26,FFRA,>4cm,0
26,MADR,<4cm,0
26,MADR,>4cm,6
26,MANG,>4cm,0
26,MCAV,<4cm,7
26,MCAV,>4cm,4
26,MEAN,<4cm,0
26,MMEA,>4cm,1
26,MUSS,<4cm,0
26,MYCE,>4cm,0
26,OCUL,<4cm,0
26,OCUL,>4cm,0
26,ORBI,<4cm,0
26,ORBI,>4cm,0
26,PAME,<4cm,0
26,PAME,>4cm,0
26,PORI,<4cm,20
26,PORI,>4cm,16
26,SCOL,>4cm,0
26,SIDE,<4cm,31
26,SIDE,>4cm,15
26,SINT,<4cm,11
26,SINT,>4cm,3
26,SOLE,<4cm,0
26,SOLE,>4cm,0
27,ACER,<4cm,0
27,ACER,>4cm,0
27,AGAR,<4cm,2
27,AGAR,>4cm,1
27,DSTO,>4cm,0
27,EFAS,>4cm,0
27,FAVI,<4cm,0
27,FAVI,>4cm,0
27,FFRA,>4cm,0
27,MADR,<4cm,1
27,MADR,>4cm,6
27,MANG,>4cm,0
27,MCAV,<4cm,5
27,MCAV,>4cm,3
27,MEAN,<4cm,0
27,MMEA,>4cm,0
27,MUSS,<4cm,1
27,MYCE,>4cm,1
27,OCUL,<4cm,0
27,OCUL,>4cm,0
27,ORBI,<4cm,0
27,ORBI,>4cm,0
27,PAME,<4cm,0
27,PAME,>4cm,0
27,PORI,<4cm,2
27,PORI,>4cm,8
27,SCOL,>4cm,0
27,SIDE,<4cm,11
27,SIDE,>4cm,6
27,SINT,<4cm,2
27,SINT,>4cm,10
27,SOLE,<4cm,0
27,SOLE,>4cm,0
28,ACER,<4cm,0
28,ACER,>4cm,0
28,AGAR,<4cm,0
28,AGAR,>4cm,1
28,DSTO,>4cm,0
28,EFAS,>4cm,0
28,FAVI,<4cm,0
28,FAVI,>4cm,0
28,FFRA,>4cm,0
28,MADR,<4cm,0
28,MADR,>4cm,4
28,MANG,>4cm,0
28,MCAV,<4cm,8
28,MCAV,>4cm,3
28,MEAN,<4cm,0
28,MMEA,>4cm,0
28,MUSS,<4cm,1
28,MYCE,>4cm,0
28,OCUL,<4cm,0
28,OCUL,>4cm,0
28,ORBI,<4cm,0
